Test Accuracy: 0.2912
Total samples: 4502
Correct predictions: 1311

Model Configuration:
  Embedding size: 128
  Hidden size: 256
  Encoder layers: 3
  Decoder layers: 3
  Cell type: lstm
  Beam size: 5

source,prediction,target,correct
alaps,अलाप्स,ऐल्प्स,False
alps,अल्प्स,ऐल्प्स,False
aise,एसे,ऐसे,False
oxide,ऑक्डडे,ऑक्साइड,False
oxy,ओॉसी,ऑक्सी,False
offers,ऑफफर्स,ऑफर्स,False
offshor,ऑफफफशर,ऑफशोर,False
offshore,ऑफफफशोर,ऑफशोर,False
official,ऑफफफिसिल,ऑफिशियल,False
okalahoma,ओकललहोम,ओकलाहोमा,False
oklahoma,ऑकललहोम,ओकलाहोमा,False
oklahoma,ऑकललहोम,ओक्लाहोमा,False
ot,ओट,ओत,False
opel,ओपेल,ओपेल,True
obrayan,ऑब्रयां,ओब्रायन,False
obrien,ऑब्रिं,ओब्रायन,False
oran,ओरान,ओरण,False
orian,ओरियन,ओरियन,True
orion,ओरियों,ओरियन,False
olavrishti,ओलावृिष्ति,ओलावृष्टि,False
ovum,ओवूम,ओवम,False
owem,ओवेम,ओवम,False
oceanic,ऑकसेनिक,ओशनिक,False
osaka,ओसका,ओसाका,False
auchity,औचिती,औचित्य,False
auchitya,उचिित्य,औचित्य,False
audhyogikaran,औध्योगिकरण,औद्योगिकरण,False
audyogikarana,उद्योगिकरण,औद्योगिकरण,False
audyogikikaran,उद्योगिकारण,औद्योगिकरण,False
aurangabad,अरंगाबाद,औरंगाबाद,False
aurora,अरोरा,औरोरा,False
aulakh,औलाख,औलख,False
kankad,कंकाद,कंकड़,False
kankar,कंकर,कंकड़,False
kankad,कंकाद,कंकर,False
kankar,कंकर,कंकर,True
kangan,कंगन,कंगन,True
conjunction,कंजनंकन,कंजंक्शन,False
contemporary,कंटेंपरर,कंटेम्पररी,False
kanthahar,कंथहहर,कंठहार,False
kanthhar,कंथहर,कंठहार,False
composer,कंपोसर,कंपोजर,False
kambalon,कंबालों,कंबलों,False
kanblon,कंब्लों,कंबलों,False
consultant,कनसूलततत,कंसलटेंट,False
kakkad,कककाद,कक्कड़,False
kakkar,कककार,कक्कड़,False
kacche,कैचे,कच्चे,False
kachche,कचचे,कच्चे,False
karta,कर्ता,कटरा,False
katra,कत्रा,कटरा,False
cutlery,कटलेरी,कटलरी,False
katlari,कतलारी,कटलरी,False
katlary,कटलारी,कटलरी,False
katasaraj,कतासराज,कटासराज,False
kathfodave,कथफोदावे,कठफोड़वे,False
kathfodve,कथफोडवे,कठफोड़वे,False
kathor,कथोर,कठोर,False
kathore,कथोरे,कठोर,False
kanika,कनिका,कणिका,False
kathai,कथाई,कत्थई,False
katthai,कत्थाई,कत्थई,False
katthaii,कत्थाई,कत्थई,False
convention,कंवेंटन,कनवेंशन,False
canals,कानलस,कनाल,False
kanaal,कनाल,कनाल,True
kanal,कनाल,कनाल,True
kanindham,कनिंधाम,कनिंघम,False
kaningham,कनिंघहम,कनिंघम,False
kanishthika,कनििष्थिका,कनिष्ठिका,False
kanishthikaa,कनििष्थिका,कनिष्ठिका,False
kanishtika,कनिश्तिका,कनिष्ठिका,False
kanyaayen,कन्याएं,कन्याएं,True
kanyaein,कान्याएं,कन्याएं,False
kanyayen,कान्याएं,कन्याएं,False
convention,कंवेंटन,कन्वेंशन,False
convocation,कंवोकाइन,कन्वोकेशन,False
cup,कीप,कप,False
kap,काप,कप,False
kapda,कपदा,कपड़ा,False
kpada,कपड़ा,कपड़ा,True
kapdo,कपड़ो,कपड़ो,True
kapdon,कपड़ों,कपड़ो,False
kaping,कापिंग,कपिंग,False
